stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0001_A,,絵鞆団地,,42.332385,140.9367286,,,,,,
0002_A,,絵鞆2丁目,,42.3345563,140.9398937,,,,,,
0002_B,,絵鞆2丁目,,42.3341443,140.9408377,,,,,,
0003_A,,絵鞆中央,,42.3359154,140.9397026,,,,,,
0003_B,,絵鞆中央,,42.3358036,140.9384066,,,,,,
0004_A,,絵鞆公園前,,42.3363491,140.9341338,,,,,,
0005_A,,公営住宅前,,42.3344024,140.9339182,,,,,,
0011_A,,絵鞆1丁目,,42.3349773,140.9414772,,,,,,
0011_B,,絵鞆1丁目,,42.3347166,140.942363,,,,,,
0012_A,,緑丘,,42.3356997,140.9466525,,,,,,
0012_B,,緑丘,,42.3354122,140.9467356,,,,,,
0013_A,,祝津公園入口,,42.3387377,140.947496,,,,,,
0013_B,,祝津公園入口,,42.3386594,140.947618,,,,,,
0014_A,,祝津町2丁目,,42.3404642,140.9500926,,,,,,
0014_B,,祝津町2丁目,,42.3403715,140.9501729,,,,,,
0015_A,,室蘭築港,,42.3403331,140.9514328,,,,,,
0015_B,,室蘭築港,,42.3400163,140.9515584,,,,,,
0016_A,,ドック前,,42.3392028,140.9530625,,,,,,
0016_B,,ドック前,,42.3390323,140.9530317,,,,,,
0017_A,,楢崎造船前,,42.3375508,140.9560656,,,,,,
0017_B,,楢崎造船前,,42.3372604,140.9561387,,,,,,
0021_A,,養護老人ホームあいらん前,,42.3325914,140.9434428,,,,,,
0021_B,,養護老人ホームあいらん前,,42.3329166,140.9429262,,,,,,
0022_A,,港南町入口,,42.3296844,140.9480507,,,,,,
0022_B,,港南町入口,,42.3296307,140.9470455,,,,,,
0023_A,,港南町2丁目,,42.3296726,140.9517447,,,,,,
0023_B,,港南町2丁目,,42.3296445,140.9511776,,,,,,
0032_A,,増市通,,42.3260008,140.9509517,,,,,,
0033_A,,桜ケ丘,,42.3279863,140.9531313,,,,,,
0033_B,,桜ケ丘,,42.3281472,140.9530375,,,,,,
0041_A,,みなと小学校前,,42.3322433,140.9541051,,,,,,
0041_B,,みなと小学校前,,42.3324551,140.9541035,,,,,,
0042_A,,港南町1丁目,,42.333841,140.9559398,,,,,,
0042_B,,港南町1丁目,,42.334161,140.9561632,,,,,,
0051_A,,港南町,,42.334883,140.9597084,,,,,,
0051_B,,港南町,,42.3350628,140.9590205,,,,,,
0052_A,,小橋内,,42.3333252,140.9625539,,,,,,
0052_B,,小橋内,,42.3339766,140.9612048,,,,,,
0053_A,,小橋内1丁目,,42.3312858,140.9650256,,,,,,
0053_B,,小橋内1丁目,,42.3320335,140.9638927,,,,,,
0061_A,,通船前,,42.3267425,140.968296,,,,,,
0061_B,,通船前,,42.328083,140.9676121,,,,,,
0071_A,,中央埠頭入口,,42.3255493,140.9686643,,,,,,
0071_B,,中央埠頭入口,,42.3255242,140.9684898,,,,,,
0081_C,,室蘭観光協会前3,,42.3217891,140.9703408,,,,,,
0081_D,,室蘭観光協会前4,,42.3217204,140.9701628,,,,,,
0081_F,,室蘭観光協会前2,,42.3217087,140.9703981,,,,,,
0081_G,,室蘭観光協会前1,,42.3215917,140.970496,,,,,,
0082_B,,室蘭駅前2,,42.3177078,140.9736451,,,,,,
0082_C,,室蘭駅前2,,42.3177078,140.9736451,,,,,,
0082_G,,室蘭駅前1,,42.3176745,140.9736715,,,,,,
0083_A,,室蘭駅前広場,,42.3179819,140.9735198,,,,,,
